course_number,launch_month,launch_day,course_title,instructors,course_subject,year,honor_code_certificates,participants,audited,certified,percent_played_video,percent_posted_forum,percent_grade_higher_than_zero,total_course_hours_per_1000,median_hours_for_certification,median_age,percent_male,percent_female,percent_bachelor_degree_or_higher,2012,2013,2014,2015,2016
PH525.6x,3,15,Data Analysis for Genomics: High-performance Computing for Reproducible Genomics,Rafael Irizarry,"Government, Health, and Social Science",4,0,1546,502,19,35.12,2.39,1.23,2.99,23.84,28,72.83,27.17,84.66,NA,NA,NA,NA,HarvardX
HLS2x,3,18,Contracts Law: From Trust to Promise to Contract,Charles Fried,"Government, Health, and Social Science",4,0,13260,1955,587,64.8,12.55,4.54,50.6,23.64,28,58.53,41.47,73.01,NA,NA,NA,NA,HarvardX
8.05.2x,3,23,Mastering Quantum Mechanics: Quantum Dynamics,"Barton Zwiebach, Saif Rayyan","Science, Technology, Engineering, and Mathematics",4,0,1862,547,40,51.93,5.8,21.8,25.48,93.84,25,89.36,10.64,69.23,NA,NA,NA,NA,MITx
21W.789.3x,3,28,Mobile Application Experiences: Building Mobile Apps,"Frank Bentley, Ed Barrett",Computer Science,4,0,4276,1000,9,52.78,1.29,5,4.28,14.64,25,82.65,17.35,63.35,NA,NA,NA,NA,MITx
15.662x,3,28,Shaping the Future of Work,"Thomas Kochan, Gokce Basbug, Meryam Bukari, Shahid Azad, Kanika Almadi","Government, Health, and Social Science",4,0,2583,446,51,65.51,12.08,19.36,10.78,27.19,30,64.17,35.83,76.56,NA,NA,NA,NA,MITx
18.01.3x,3,29,Calculus: Coordinate Systems and Infinite Series,David Jerison,"Science, Technology, Engineering, and Mathematics",4,1,3749,1206,233,55.75,0.16,22.99,44.72,90.87,25,83.4,16.6,58.93,NA,NA,NA,NA,MITx
7.QBWx,3,29,Quantitative Biology Workshop,"Jeff Gore, Paul Blainey, Eric S. Lander, Ernest Fraenkel, Mary Ellen Wiltrout, Nathaniel Schafheimer","Science, Technology, Engineering, and Mathematics",4,0,3294,552,70,61.51,8.74,31.36,45.41,94.76,27,62.65,37.35,74.65,NA,NA,NA,NA,MITx
HDS3221.2x,4,5,World Religions Through their Scriptures: Christianity,Karen King,"Humanities, History, Design, Religion, and Education",4,0,10188,2810,138,75.31,20.95,1.41,37.58,28.9,37,51.04,48.96,73.72,NA,NA,NA,NA,HarvardX
AMPOx.6,4,8,Poetry in America: Modernism,Elisa New,"Humanities, History, Design, Religion, and Education",4,0,3049,759,45,72.94,18.6,1.57,24.48,59.94,36,39.5,60.5,75.44,NA,NA,NA,NA,HarvardX
3.054.2x,4,8,Cellular Solids: Applications in Medicine,Lorna J. Gibson,"Science, Technology, Engineering, and Mathematics",4,1,510,416,53,47.84,5.1,16.47,2.53,26.52,27,73.36,26.64,73.97,NA,NA,NA,NA,MITx
